File,Function,Kind,TypeAnnotation
"perf/bench_utils.jl","fw","mtsig","Tuple{Any, Any}"
"perf/bench_utils.jl","bw","mtsig","Tuple{Any}"
"perf/bench_utils.jl","fwbw","mtsig","Tuple{Any, Any, Any}"
"perf/bench_utils.jl","<NA-name>","mtsig","Tuple{}"
"perf/bench_utils.jl","pb","mtsig","Tuple{Any, Any, Any}"
"perf/bench_utils.jl","<NA-name>","mtsig","Tuple{}"
"perf/bench_utils.jl","run_benchmark","mtsig","Tuple{Any, Any, Any}"
"perf/recurrent.jl","fw","mtsig","Tuple{RNNWrapper, Vector{<:AbstractArray}}"
"perf/recurrent.jl","fw","mtsig","Tuple{RNNWrapper, Any}"
"perf/recurrent.jl","fwbw","mtsig","Tuple{RNNWrapper, Any, Vector{<:AbstractArray}}"
"perf/recurrent.jl","<NA-name>","mtsig","Tuple{}"
"perf/recurrent.jl","pb","mtsig","Tuple{RNNWrapper, Any, Vector{<:AbstractArray}}"
"perf/recurrent.jl","<NA-name>","mtsig","Tuple{}"
"perf/recurrent.jl","rnn_benchmark_sweep","mtsig","Tuple{Function, Any}"
"perf/recurrent.jl","<NA-name>","mtsig","Tuple{Any, Any}"
"perf/recurrent.jl","<NA-name>","mtsig","Tuple{Any, Any}"
"perf/vgg.jl","vgg16","mtsig","Tuple{}"
"src/deprecations.jl","ones","mtsig","Tuple{Vararg{Any}}"
"src/deprecations.jl","ones","mtsig","Tuple{Type, Vararg{Any}}"
"src/deprecations.jl","zeros","mtsig","Tuple{Vararg{Any}}"
"src/deprecations.jl","zeros","mtsig","Tuple{Type, Vararg{Any}}"
"src/deprecations.jl","ones32","mtsig","Tuple{Type, Vararg{Any}}"
"src/deprecations.jl","zeros32","mtsig","Tuple{Type, Vararg{Any}}"
"src/deprecations.jl","Broadcast.broadcasted","mtsig","Tuple{Recur, Vararg{Any}}"
"src/deprecations.jl","Zeros","mtsig","Tuple{}"
"src/deprecations.jl","Zeros","mtsig","Tuple{}"
"src/deprecations.jl","Zeros","mtsig","Tuple{Vararg{Any}}"
"src/deprecations.jl","Optimise.update!","mtsig","Tuple{AbstractArray, Any}"
"src/deprecations.jl","Diagonal","mtsig","Tuple{Vararg{Integer}, Vararg{Any}}"
"src/deprecations.jl","Diagonal","mtsig","Tuple{Tuple, Vararg{Any}}"
"src/deprecations.jl","loadparams!","mtsig","Tuple{Any, Any}"
"src/deprecations.jl","Dense","mtsig","Tuple{Integer, Integer, Any, Vararg{Any}}"
"src/deprecations.jl","Bilinear","mtsig","Tuple{Integer, Integer, Integer, Any, Vararg{Any}}"
