File,Function,Kind,TypeAnnotation
"src/Gadfly.jl","__init__","mtsig","Tuple{}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","element_aesthetics","mtsig","Tuple{Any}"
"src/Gadfly.jl","input_aesthetics","mtsig","Tuple{Any}"
"src/Gadfly.jl","output_aesthetics","mtsig","Tuple{Any}"
"src/Gadfly.jl","default_scales","mtsig","Tuple{Any}"
"src/Gadfly.jl","default_scales","mtsig","Tuple{Any, Any}"
"src/Gadfly.jl","default_statistic","mtsig","Tuple{Any}"
"src/Gadfly.jl","element_coordinate_type","mtsig","Tuple{Any}"
"src/Gadfly.jl","aes2str","mtsig","Tuple{Any}"
"src/Gadfly.jl","set_default_plot_size","mtsig","Tuple{Compose.MeasureOrNumber, Compose.MeasureOrNumber}"
"src/Gadfly.jl","set_default_plot_format","mtsig","Tuple{Symbol}"
"src/Gadfly.jl","Layer","mtsig","Tuple{}"
"src/Gadfly.jl","Layer","mtsig","Tuple{Layer}"
"src/Gadfly.jl","copy","mtsig","Tuple{Layer}"
"src/Gadfly.jl","layer","mtsig","Tuple{Any, Vararg{ElementOrFunction}, Vararg{Any}}"
"src/Gadfly.jl","layer","mtsig","Tuple{Vararg{ElementOrFunction}, Vararg{Any}}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, T} where T <: Element"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, ScaleElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, GeometryElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, Base.Callable}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, StatisticElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Vector{Layer}, Theme}"
"src/Gadfly.jl","Plot","mtsig","Tuple{}"
"src/Gadfly.jl","layers","mtsig","Tuple{Plot}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, GeometryElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, StatisticElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, Function}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, ScaleElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, CoordinateElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, GuideElement}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, Layer}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, Vector{Layer}}"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, Type{T}} where T <: Element"
"src/Gadfly.jl","add_plot_element!","mtsig","Tuple{Plot, Theme}"
"src/Gadfly.jl","plot","mtsig","Tuple{Any, Vararg{ElementOrFunctionOrLayers}, Vararg{Any}}"
"src/Gadfly.jl","plot","mtsig","Tuple{Vararg{ElementOrFunctionOrLayers}, Vararg{Any}}"
"src/Gadfly.jl","plot","mtsig","Tuple{Any, Dict, Vararg{ElementOrFunctionOrLayers}}"
"src/Gadfly.jl","Base.push!","mtsig","Tuple{Plot, ElementOrFunctionOrLayers}"
"src/Gadfly.jl","render_prepare","mtsig","Tuple{Plot}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","_theme","mtsig","Tuple{Any, Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any, Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any, Any}"
"src/Gadfly.jl","render","mtsig","Tuple{Plot}"
"src/Gadfly.jl","render_prepared","mtsig","Tuple{Plot, CoordinateElement, Aesthetics, Vector{Aesthetics}, Vector{Vector{StatisticElement}}, Vector{Vector{Aesthetics}}, Vector{Vector{Data}}, Dict{Symbol, ScaleElement}, Vector{GuideElement}, Any, Any}"
"src/Gadfly.jl","draw","mtsig","Tuple{Compose.Backend, Plot}"
"src/Gadfly.jl","title","mtsig","Tuple{Context, String, Vararg{Compose.Property}}"
"src/Gadfly.jl","vstack","mtsig","Tuple{Vararg{Union{Plot, Context}}}"
"src/Gadfly.jl","vstack","mtsig","Tuple{Vector{Plot}}"
"src/Gadfly.jl","vstack","mtsig","Tuple{Vector{Union{Plot, Context}}}"
"src/Gadfly.jl","hstack","mtsig","Tuple{Vararg{Union{Plot, Context}}}"
"src/Gadfly.jl","hstack","mtsig","Tuple{Vector{Plot}}"
"src/Gadfly.jl","hstack","mtsig","Tuple{Vector{Union{Plot, Context}}}"
"src/Gadfly.jl","gridstack","mtsig","Tuple{Matrix{Plot}}"
"src/Gadfly.jl","gridstack","mtsig","Tuple{Matrix{Union{Plot, Context}}}"
"src/Gadfly.jl","_gridstack","mtsig","Tuple{Matrix}"
"src/Gadfly.jl","<NA-name>","mtsig","Tuple{Any}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"text/html\", Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"juliavscode/html\", Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"image/svg+xml\", Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, Union{MIME\"application/juno+plotpane\", MIME\"application/prs.juno.plotpane+html\"}, Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"image/png\", Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"application/postscript\", Plot}"
"src/Gadfly.jl","show","mtsig","Tuple{IO, MIME\"text/plain\", Plot}"
"src/Gadfly.jl","default_mime","mtsig","Tuple{}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, Union{Plot, Compose.Context}}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, MIME\"image/png\", Union{Plot, Compose.Context}}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, MIME\"image/svg+xml\", Union{Plot, Compose.Context}}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, MIME\"text/html\", Union{Plot, Compose.Context}}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, MIME\"application/postscript\", Union{Plot, Compose.Context}}"
"src/Gadfly.jl","display","mtsig","Tuple{GadflyDisplay, MIME\"application/pdf\", Union{Plot, Compose.Context}}"
"src/Gadfly.jl","plot","mtsig","Tuple{}"
"src/Gadfly.jl","get_scale","mtsig","(Tuple{Val{t}, Val{var}, Theme} where var) where t"
"src/Gadfly.jl","get_scale","mtsig","Tuple{Symbol, Symbol, Theme}"
"src/Gadfly.jl","get_scale","mtsig","Tuple{Val{:categorical}, Val{:color}, Theme}"
"src/Gadfly.jl","get_scale","mtsig","Tuple{Val{:numerical}, Val{:color}, Theme}"
"src/Gadfly.jl","scale_exists","mtsig","Tuple{Symbol, Symbol}"
"src/Gadfly.jl","classify_data","mtsig","(Tuple{AbstractArray{T, N}} where T <: Union{CategoricalType, Missing}) where N"
"src/Gadfly.jl","classify_data","mtsig","(Tuple{AbstractArray{T, N}} where T <: Union{Base.Callable, Measure, Colorant}) where N"
"src/Gadfly.jl","classify_data","mtsig","Tuple{CategoricalArray}"
"src/Gadfly.jl","classify_data","mtsig","Tuple{T} where T <: Base.Callable"
"src/Gadfly.jl","classify_data","mtsig","Tuple{AbstractArray}"
"src/Gadfly.jl","classify_data","mtsig","Tuple{Distribution}"
"src/Gadfly.jl","classify_data","mtsig","Tuple{Vector{<:Distribution}}"
"src/Gadfly.jl","classify_data","mtsig","Tuple{Vector{<:Vector{<:Measure}}}"
"src/Gadfly.jl","classify_data","mtsig","Tuple{AbstractArray{Any}}"
"src/aesthetics.jl","show","mtsig","Tuple{IO, Aesthetics}"
"src/aesthetics.jl","getindex","mtsig","Tuple{Aesthetics, Integer, AbstractString}"
"src/aesthetics.jl","defined_aesthetics","mtsig","Tuple{Aesthetics}"
"src/aesthetics.jl","undefined_aesthetics","mtsig","Tuple{Aesthetics, Vararg{Symbol}}"
"src/aesthetics.jl","assert_aesthetics_defined","mtsig","Tuple{AbstractString, Aesthetics, Vararg{Symbol}}"
"src/aesthetics.jl","assert_aesthetics_undefined","mtsig","Tuple{AbstractString, Aesthetics, Vararg{Symbol}}"
"src/aesthetics.jl","assert_aesthetics_equal_length","mtsig","Tuple{AbstractString, Aesthetics, Vararg{Symbol}}"
"src/aesthetics.jl","<NA-name>","mtsig","Tuple{Any}"
"src/aesthetics.jl","update!","mtsig","Tuple{Aesthetics, Aesthetics}"
"src/aesthetics.jl","json","mtsig","Tuple{Aesthetics}"
"src/aesthetics.jl","concat","mtsig","Tuple{Vararg{Aesthetics}}"
"src/aesthetics.jl","cat_aes_var!","mtsig","Tuple{Nothing, Nothing}"
"src/aesthetics.jl","cat_aes_var!","mtsig","Tuple{Nothing, Union{Function, AbstractString}}"
"src/aesthetics.jl","cat_aes_var!","mtsig","Tuple{Nothing, Any}"
