File,Function,Kind,TypeAnnotation,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,RestrictedScope
src/Gen.jl,load_generated_functions,mtsig,Tuple{Module},false,false,0,false,true,true,true
src/address.jl,Base.keys,mtsig,Tuple{StaticAddressSchema},false,false,0,false,true,true,true
src/address.jl,Base.in,mtsig,"Tuple{Any, Selection}",false,false,0,false,true,true,true
src/address.jl,Base.getindex,mtsig,"Tuple{Selection, Any}",false,false,0,false,true,true,true
src/address.jl,get_address_schema,mtsig,Tuple{Type{EmptySelection}},false,false,0,false,true,true,true
src/address.jl,Base.isempty,mtsig,Tuple{EmptySelection},false,false,0,false,true,true,true
src/address.jl,get_address_schema,mtsig,Tuple{Type{AllSelection}},false,false,0,false,true,true,true
src/address.jl,Base.isempty,mtsig,Tuple{AllSelection},false,false,0,false,true,true,true
src/address.jl,Base.in,mtsig,"Tuple{Any, AllSelection}",false,false,0,false,true,true,true
src/address.jl,Base.getindex,mtsig,"Tuple{AllSelection, Any}",false,false,0,false,true,true,true
src/address.jl,get_address_schema,mtsig,Tuple{Type{ComplementSelection}},false,false,0,false,true,true,true
src/address.jl,Base.isempty,mtsig,Tuple{ComplementSelection},false,false,0,false,true,true,true
src/address.jl,Base.in,mtsig,"Tuple{Any, ComplementSelection}",false,false,0,false,true,true,true
src/address.jl,Base.getindex,mtsig,"Tuple{ComplementSelection, Any}",false,false,0,false,true,true,true
src/address.jl,complement,mtsig,Tuple{Selection},false,false,0,false,true,true,true
src/address.jl,Base.isempty,mtsig,"(Tuple{StaticSelection{T, U}} where U) where T",false,false,2,true,true,true,true
src/address.jl,get_address_schema,mtsig,"(Tuple{Type{StaticSelection{T, U}}} where U) where T",false,false,2,true,true,true,true
src/address.jl,get_subselections,mtsig,Tuple{StaticSelection},false,false,0,false,true,true,true
src/address.jl,static_getindex,mtsig,"Tuple{StaticSelection, Val{A}} where A",false,false,1,true,true,true,true
src/address.jl,Base.getindex,mtsig,"Tuple{StaticSelection, Symbol}",false,false,0,false,true,true,true
src/address.jl,Base.getindex,mtsig,"Tuple{StaticSelection, Pair}",false,false,0,false,true,true,true
src/address.jl,Base.in,mtsig,"(Tuple{Symbol, StaticSelection{T, U}} where U) where T",false,false,2,true,true,true,true
src/address.jl,Base.in,mtsig,"Tuple{Pair, StaticSelection}",false,false,0,false,true,true,true
src/address.jl,StaticSelection,mtsig,Tuple{HierarchicalSelection},false,false,0,false,true,true,true
src/address.jl,Base.isempty,mtsig,Tuple{DynamicSelection},false,false,0,false,true,true,true
src/address.jl,DynamicSelection,mtsig,Tuple{},false,false,0,false,true,true,true
src/address.jl,get_address_schema,mtsig,Tuple{Type{DynamicSelection}},false,false,0,false,true,true,true
