File,Function,Kind,TypeAnnotation
"sample/Basic mathematics.jl","area","mtsig","Tuple{Any}"
"sample/Basic mathematics.jl","pieces","mtsig","Tuple{Any}"
"sample/Basic mathematics.jl","hint","mtsig","Tuple{Any}"
"sample/Basic mathematics.jl","almost","mtsig","Tuple{Any}"
"sample/Basic mathematics.jl","keep_working","mtsig","Tuple{Any}"
"sample/Basic mathematics.jl","correct","mtsig","Tuple{Any}"
"sample/Getting started.jl","confusing_function","mtsig","Tuple{String, Array}"
"sample/Interactivity.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/Interactivity.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/JavaScript.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/JavaScript.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/JavaScript.jl","ClickCounter","mtsig","Tuple{Any}"
"sample/JavaScript.jl","details","mtsig","Tuple{Any, Any}"
"sample/Plots.jl.jl","myfunction","mtsig","Tuple{Any}"
"sample/Plots.jl.jl","plot_pears","mtsig","Tuple{}"
"sample/PlutoUI.jl.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/PlutoUI.jl.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/PlutoUI.jl.jl","wind_speed_input","mtsig","Tuple{Vector}"
"sample/PlutoUI.jl.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/Tower of Hanoi.jl","islegal","mtsig","Tuple{Any}"
"sample/Tower of Hanoi.jl","iscomplete","mtsig","Tuple{Any}"
"sample/Tower of Hanoi.jl","move","mtsig","Tuple{Any, Int, Int}"
"sample/Tower of Hanoi.jl","wrong_solution","mtsig","Tuple{Any}"
"sample/Tower of Hanoi.jl","solve","mtsig","Tuple{Any}"
"sample/Tower of Hanoi.jl","run_solution","mtsig","Tuple{Function, Any}"
"sample/Tower of Hanoi.jl","check_solution","mtsig","Tuple{Function, Any}"
"sample/test_embed_display.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","demo_img","mtsig","Tuple{}"
"sample/test_embed_display.jl","nested","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","to_any","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","pers_3_items","mtsig","Tuple{}"
"sample/test_embed_display.jl","showhtml","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","force_html","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","ed","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","nested","mtsig","Tuple{Any, Any}"
"sample/test_embed_display.jl","ingredients","mtsig","Tuple{String}"
"sample/test_embed_display.jl","eval","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","include","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","include","mtsig","Tuple{Function, Any}"
"sample/test_embed_display.jl","equal_container","mtsig","Tuple{Any}"
"sample/test_embed_display.jl","hbox_even","mtsig","Tuple{Vararg{Any}}"
"sample/test_embed_display.jl","pers_2","mtsig","Tuple{}"
"sample/test_embed_display.jl","pers_3","mtsig","Tuple{}"
"sample/test_go_to_definition.jl","_function3","mtsig","Tuple{}"
"sample/test_go_to_definition.jl","_function6","mtsig","Tuple{Any}"
"sample/test_go_to_definition.jl","_function1","mtsig","Tuple{}"
"sample/test_go_to_definition.jl","_function2","mtsig","Tuple{Vararg{Any}}"
"sample/test_go_to_definition.jl","_function4","mtsig","Tuple{Z}"
"sample/test_go_to_definition.jl","_function4","mtsig","Tuple{Z}"
"sample/test_go_to_definition.jl","_function5","mtsig","Tuple{Any}"
"sample/test_go_to_definition.jl","f","mtsig","Tuple{Any}"
"sample/test_go_to_definition.jl","f","mtsig","Tuple{Any, Any}"
"sample/test_logging.jl","<NA-name>","mtsig","Tuple{Any}"
"sample/test_logging.jl","<NA-name>","mtsig","Tuple{Any}"
