File,Function,Kind,TypeAnnotation
"benchmarks/BenchmarkHelper.jl","benchmark_excluded","mtsig","Tuple{Any}"
"benchmarks/BenchmarkHelper.jl","benchmark_files","mtsig","Tuple{}"
"benchmarks/BenchmarkHelper.jl","<NA-name>","mtsig","Tuple{Any}"
"benchmarks/BenchmarkHelper.jl","<NA-name>","mtsig","Tuple{Any}"
"benchmarks/benchmarks.jl","constrained_test","mtsig","Tuple{Any}"
"benchmarks/benchmarks.jl","gdemo","mtsig","Tuple{Any, Any}"
"benchmarks/benchmarks.jl","target","mtsig","Tuple{Any}"
"benchmarks/benchmarks.jl","mdemo","mtsig","Tuple{Any, Any}"
"benchmarks/nuts/hlr.jl","hlr_nuts","mtsig","Tuple{Any, Any, Any}"
"benchmarks/nuts/lr.jl","lr_nuts","mtsig","Tuple{Any, Any, Any}"
"benchmarks/nuts/lr_helper.jl","readlrdata","mtsig","Tuple{}"
"benchmarks/nuts/sv_nuts.jl","sv_nuts","mtsig","Tuple{Any, Any, Type{T}} where T"
"docs/make-utils.jl","find_yaml_header","mtsig","Tuple{Any}"
"docs/make-utils.jl","remove_yaml","mtsig","Tuple{Any, Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","tidy_api","mtsig","Tuple{Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","fix_header_1","mtsig","Tuple{Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","fix_image_path","mtsig","Tuple{Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","preprocess_markdown","mtsig","Tuple{Any}"
"docs/make-utils.jl","postprocess_markdown","mtsig","Tuple{Any, Any, Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","with_clean_docs","mtsig","Tuple{Any, Any, Any}"
"docs/make-utils.jl","copy_tutorial","mtsig","Tuple{Any}"
"docs/make-utils.jl","with_baseurl","mtsig","Tuple{Any, Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make-utils.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make.jl","<NA-name>","mtsig","Tuple{Any, Any}"
"docs/make.jl","<NA-name>","mtsig","Tuple{}"
"docs/src/using-turing/gen-sampler-viz.jl","gdemo","mtsig","Tuple{Any}"
"docs/src/using-turing/gen-sampler-viz.jl","evaluate","mtsig","Tuple{Any, Any}"
"docs/src/using-turing/gen-sampler-viz.jl","plot_sampler","mtsig","Tuple{Any, Any}"
"src/Turing.jl","setprogress!","mtsig","Tuple{Bool}"
"src/contrib/inference/dynamichmc.jl","DynamicNUTS","mtsig","Tuple{Vararg{Any}}"
"src/contrib/inference/dynamichmc.jl","DynamicNUTS","mtsig","Tuple{Vararg{Symbol}} where AD"
"src/contrib/inference/dynamichmc.jl","DynamicPPL.getspace","mtsig","Tuple{DynamicNUTS{<:Any, space}} where space"
"src/contrib/inference/dynamichmc.jl","DynamicHMC.dimension","mtsig","Tuple{DynamicHMCLogDensity}"
"src/contrib/inference/dynamichmc.jl","DynamicHMC.capabilities","mtsig","Tuple{Type{<:DynamicHMCLogDensity}}"
"src/contrib/inference/dynamichmc.jl","DynamicHMC.logdensity_and_gradient","mtsig","Tuple{DynamicHMCLogDensity, AbstractVector}"
"src/contrib/inference/dynamichmc.jl","gibbs_state","mtsig","Tuple{Model, Sampler{<:DynamicNUTS}, DynamicNUTSState, AbstractVarInfo}"
"src/contrib/inference/dynamichmc.jl","DynamicPPL.initialsampler","mtsig","Tuple{Sampler{<:DynamicNUTS}}"
"src/contrib/inference/dynamichmc.jl","DynamicPPL.initialstep","mtsig","Tuple{AbstractRNG, Model, Sampler{<:DynamicNUTS}, AbstractVarInfo, Vararg{Any}}"
"src/contrib/inference/dynamichmc.jl","AbstractMCMC.step","mtsig","Tuple{AbstractRNG, Model, Sampler{<:DynamicNUTS}, DynamicNUTSState, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","SGHMC","mtsig","Tuple{Vararg{Any}, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","SGHMC","mtsig","Tuple{Vararg{Symbol}, Real, Real} where AD"
"src/contrib/inference/sghmc.jl","DynamicPPL.initialstep","mtsig","Tuple{Random.AbstractRNG, Model, Sampler{<:SGHMC}, AbstractVarInfo, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","AbstractMCMC.step","mtsig","Tuple{Random.AbstractRNG, Model, Sampler{<:SGHMC}, SGHMCState, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","PolynomialStepsize","mtsig","Tuple{T, T, T} where T"
"src/contrib/inference/sghmc.jl","PolynomialStepsize","mtsig","Tuple{T, T, T} where T <: Real"
"src/contrib/inference/sghmc.jl","PolynomialStepsize","mtsig","Tuple{Real, Real, Real}"
"src/contrib/inference/sghmc.jl","f::PolynomialStepsize","mtsig","Tuple{Int}"
"src/contrib/inference/sghmc.jl","SGLD","mtsig","Tuple{Vararg{Any}, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","SGLD","mtsig","Tuple{Vararg{Symbol}, Any} where AD"
"src/contrib/inference/sghmc.jl","SGLDTransition","mtsig","Tuple{AbstractVarInfo, Any}"
"src/contrib/inference/sghmc.jl","metadata","mtsig","Tuple{SGLDTransition}"
"src/contrib/inference/sghmc.jl","DynamicPPL.getlogp","mtsig","Tuple{SGLDTransition}"
"src/contrib/inference/sghmc.jl","DynamicPPL.initialstep","mtsig","Tuple{Random.AbstractRNG, Model, Sampler{<:SGLD}, AbstractVarInfo, Vararg{Any}}"
"src/contrib/inference/sghmc.jl","AbstractMCMC.step","mtsig","Tuple{Random.AbstractRNG, Model, Sampler{<:SGLD}, SGLDState, Vararg{Any}}"
"src/essential/Essential.jl","__init__","mtsig","Tuple{}"
"src/essential/ad.jl","setadbackend","mtsig","Tuple{Symbol}"
"src/essential/ad.jl","setadbackend","mtsig","Tuple{Val}"
"src/essential/ad.jl","_setadbackend","mtsig","Tuple{Val{:forwarddiff}}"
"src/essential/ad.jl","_setadbackend","mtsig","Tuple{Val{:tracker}}"
"src/essential/ad.jl","_setadbackend","mtsig","Tuple{Val{:zygote}}"
"src/essential/ad.jl","setadsafe","mtsig","Tuple{Bool}"
"src/essential/ad.jl","setchunksize","mtsig","Tuple{Int}"
"src/essential/ad.jl","getchunksize","mtsig","Tuple{Type{<:ForwardDiffAD{chunk}}} where chunk"
"src/essential/ad.jl","getchunksize","mtsig","Tuple{Type{<:Sampler{Talg}}} where Talg"
"src/essential/ad.jl","getchunksize","mtsig","Tuple{Type{SampleFromPrior}}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{Symbol}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{Val{:forwarddiff}}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{Val{:tracker}}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{Val{:zygote}}"
"src/essential/ad.jl","ADBackend","mtsig","Tuple{Val}"
"src/essential/ad.jl","getADbackend","mtsig","Tuple{Sampler}"
"src/essential/ad.jl","getADbackend","mtsig","Tuple{SampleFromPrior}"
"src/essential/ad.jl","gradient_logp","mtsig","Tuple{AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/ad.jl","gradient_logp","mtsig","Tuple{ForwardDiffAD, AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/ad.jl","f","mtsig","Tuple{Any}"
"src/essential/ad.jl","gradient_logp","mtsig","Tuple{TrackerAD, AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/ad.jl","f","mtsig","Tuple{Any}"
"src/essential/ad.jl","gradient_logp","mtsig","Tuple{ZygoteAD, AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/ad.jl","f","mtsig","Tuple{Any}"
"src/essential/ad.jl","verifygrad","mtsig","Tuple{AbstractVector{<:Real}}"
"src/essential/ad.jl","\$F","mtsig","Tuple{PDMatDistribution, Tracker.TrackedArray}"
"src/essential/ad.jl","\$F","mtsig","Tuple{PDMatDistribution, Tracker.TrackedArray}"
"src/essential/ad.jl","<NA-name>","mtsig","Tuple{Any}"
"src/essential/ad.jl","<NA-name>","mtsig","Tuple{Any}"
"src/essential/container.jl","TracedModel","mtsig","Tuple{Model, AbstractSampler, AbstractVarInfo}"
"src/essential/container.jl","_get_evaluator","mtsig","(Tuple{Model{_F, argnames}, Any, Any} where argnames) where _F"
"src/essential/container.jl","Base.copy","mtsig","Tuple{AdvancedPS.Trace{<:TracedModel}}"
"src/essential/container.jl","AdvancedPS.advance!","mtsig","Tuple{AdvancedPS.Trace{<:TracedModel}}"
"src/essential/container.jl","AdvancedPS.delete_retained!","mtsig","Tuple{TracedModel}"
"src/essential/container.jl","AdvancedPS.reset_model","mtsig","Tuple{TracedModel}"
"src/essential/container.jl","AdvancedPS.reset_logprob!","mtsig","Tuple{TracedModel}"
"src/essential/container.jl","Libtask.TapedTask","mtsig","Tuple{TracedModel}"
"src/essential/container.jl","Libtask.TapedTask","mtsig","Tuple{TracedModel, Random.AbstractRNG}"
"src/essential/compat/reversediff.jl","setrdcache","mtsig","Tuple{Bool}"
"src/essential/compat/reversediff.jl","setrdcache","mtsig","Tuple{Val{false}}"
"src/essential/compat/reversediff.jl","setrdcache","mtsig","Tuple{Val}"
"src/essential/compat/reversediff.jl","getrdcache","mtsig","Tuple{}"
"src/essential/compat/reversediff.jl","ADBackend","mtsig","Tuple{Val{:reversediff}}"
"src/essential/compat/reversediff.jl","_setadbackend","mtsig","Tuple{Val{:reversediff}}"
"src/essential/compat/reversediff.jl","gradient_logp","mtsig","Tuple{ReverseDiffAD{false}, AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/compat/reversediff.jl","f","mtsig","Tuple{Any}"
"src/essential/compat/reversediff.jl","tape","mtsig","Tuple{Any, Any}"
"src/essential/compat/reversediff.jl","taperesult","mtsig","Tuple{Any, Any}"
"src/essential/compat/reversediff.jl","setrdcache","mtsig","Tuple{Val{true}}"
"src/essential/compat/reversediff.jl","emptyrdcache","mtsig","Tuple{}"
"src/essential/compat/reversediff.jl","gradient_logp","mtsig","Tuple{ReverseDiffAD{true}, AbstractVector{<:Real}, VarInfo, Model, AbstractSampler, DynamicPPL.AbstractContext}"
"src/essential/compat/reversediff.jl","f","mtsig","Tuple{Any}"
"src/essential/compat/reversediff.jl","Memoization._get!","mtsig","Tuple{Any, Dict, Tuple{Tuple{RDTapeKey}, Any}}"
"src/essential/compat/reversediff.jl","memoized_taperesult","mtsig","Tuple{Any, Any}"
"src/essential/compat/reversediff.jl","memoized_taperesult","mtsig","Tuple{RDTapeKey}"
"src/essential/compat/reversediff.jl","compiledtape","mtsig","Tuple{Any, Any}"
"src/inference/AdvancedSMC.jl","SMC","mtsig","Tuple{Any, Tuple}"
"src/inference/AdvancedSMC.jl","SMC","mtsig","Tuple{Any, Real, Tuple}"
"src/inference/AdvancedSMC.jl","SMC","mtsig","Tuple{Real, Tuple}"
"src/inference/AdvancedSMC.jl","SMC","mtsig","Tuple{Vararg{Symbol}}"
"src/inference/AdvancedSMC.jl","SMC","mtsig","Tuple{Tuple}"
"src/inference/AdvancedSMC.jl","SMCTransition","mtsig","Tuple{AbstractVarInfo, Any}"
"src/inference/AdvancedSMC.jl","metadata","mtsig","Tuple{SMCTransition}"
"src/inference/AdvancedSMC.jl","DynamicPPL.getlogp","mtsig","Tuple{SMCTransition}"
"src/inference/AdvancedSMC.jl","getlogevidence","mtsig","Tuple{Any, Sampler{<:SMC}, SMCState}"
"src/inference/AdvancedSMC.jl","AbstractMCMC.sample","mtsig","Tuple{AbstractRNG, AbstractModel, Sampler{<:SMC}, Integer, Any, Any, Any, Vararg{Any}}"
"src/inference/AdvancedSMC.jl","DynamicPPL.initialstep","mtsig","Tuple{AbstractRNG, AbstractModel, Sampler{<:SMC}, AbstractVarInfo, Int, Vararg{Any}}"
"src/inference/AdvancedSMC.jl","AbstractMCMC.step","mtsig","Tuple{AbstractRNG, AbstractModel, Sampler{<:SMC}, SMCState, Vararg{Any}}"
"src/inference/AdvancedSMC.jl","PG","mtsig","Tuple{Int, Any, Tuple}"
"src/inference/AdvancedSMC.jl","PG","mtsig","Tuple{Int, Any, Real, Tuple}"
"src/inference/AdvancedSMC.jl","PG","mtsig","Tuple{Int, Real, Tuple}"
"src/inference/AdvancedSMC.jl","PG","mtsig","Tuple{Int, Vararg{Symbol}}"
"src/inference/AdvancedSMC.jl","PG","mtsig","Tuple{Int, Tuple}"
"src/inference/AdvancedSMC.jl","PGTransition","mtsig","Tuple{AbstractVarInfo, Any}"
"src/inference/AdvancedSMC.jl","metadata","mtsig","Tuple{PGTransition}"
"src/inference/AdvancedSMC.jl","DynamicPPL.getlogp","mtsig","Tuple{PGTransition}"
"src/inference/AdvancedSMC.jl","getlogevidence","mtsig","Tuple{Any, Sampler{<:PG}, AbstractVarInfo}"
"src/inference/AdvancedSMC.jl","DynamicPPL.initialstep","mtsig","Tuple{AbstractRNG, AbstractModel, Sampler{<:PG}, AbstractVarInfo, Vararg{Any}}"
"src/inference/AdvancedSMC.jl","AbstractMCMC.step","mtsig","Tuple{AbstractRNG, AbstractModel, Sampler{<:PG}, AbstractVarInfo, Vararg{Any}}"
"src/inference/AdvancedSMC.jl","<NA-name>","mtsig","Tuple{Any}"
"src/inference/AdvancedSMC.jl","DynamicPPL.use_threadsafe_eval","mtsig","Tuple{SamplingContext{<:Sampler{<:Union{PG, SMC}}}, AbstractVarInfo}"
"src/inference/AdvancedSMC.jl","DynamicPPL.assume","mtsig","Tuple{Any, Sampler{<:Union{PG, SMC}}, Distribution, VarName, AbstractVarInfo}"
"src/inference/AdvancedSMC.jl","DynamicPPL.observe","mtsig","Tuple{Sampler{<:Union{PG, SMC}}, Distribution, Any, Any}"
"src/inference/AdvancedSMC.jl","AdvancedPS.Trace","mtsig","Tuple{Model, Sampler{<:Union{SMC, PG}}, AbstractVarInfo}"
"src/inference/Inference.jl","getchunksize","mtsig","Tuple{Type{<:Hamiltonian{AD}}} where AD"
"src/inference/Inference.jl","getADbackend","mtsig","Tuple{Hamiltonian{AD}} where AD"
"src/inference/Inference.jl","mh_accept","mtsig","Tuple{Real, Real, Real}"
"src/inference/Inference.jl","Transition","mtsig","Tuple{AbstractVarInfo, NamedTuple}"
"src/inference/Inference.jl","metadata","mtsig","Tuple{Transition}"
"src/inference/Inference.jl","DynamicPPL.getlogp","mtsig","Tuple{Transition}"
"src/inference/Inference.jl","metadata","mtsig","Tuple{AbstractVarInfo}"
"src/inference/Inference.jl","AbstractMCMC.sample","mtsig","Tuple{AbstractModel, InferenceAlgorithm, Integer, Vararg{Any}}"
