File,Function,Kind,TypeAnnotation,UnrolledTypeAnnotation,TypeVarsSummary,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,ImprUseSiteVariance,RestrictedScope,ClosedLowerBound,Package
src/WeakValueDict.jl,WeakValueDict,mtsig,"Tuple{Vararg{Pair{K, V} where K}} where V","Tuple{Vararg{Pair{K, V} where K}} where V","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:K, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:V, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/AbstractAlgebra.jl
src/AcceleratedArray.jl,Base.IndexStyle,mtsig,"Tuple{Type{AcceleratedArray{<:Any, <:Any, A, <:Any}}} where A","Tuple{Type{((AcceleratedArray{var""##ANON_TV#387"", var""##ANON_TV#388"", A, var""##ANON_TV#389""} where var""##ANON_TV#387"" <: Any) where var""##ANON_TV#388"" <: Any) where var""##ANON_TV#389"" <: Any}} where A","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#387""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#388""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#389""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:A, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,4,true,true,false,true,false,true,../data/ta-info/all/AcceleratedArrays.jl
src/Multivariate/TensorSpace.jl,Base.findfirst,mtsig,"(Tuple{Tensorizer{Tuple{<:AbstractFill{S}, <:AbstractFill{T}}}, Tuple{Int, Int}} where T) where S","(Tuple{Tensorizer{(Tuple{var""##ANON_TV#445"", var""##ANON_TV#446""} where var""##ANON_TV#445"" <: AbstractFill{S}) where var""##ANON_TV#446"" <: AbstractFill{T}}, Tuple{Int, Int}} where T) where S","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#445""), :(Union{}), :(AbstractFill{S}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCTuple)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#446""), :(Union{}), :(AbstractFill{T}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCTuple, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], list(JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:S, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)], nil(JuliaSub.TypeConstructor))], false)",false,false,4,true,true,false,true,false,true,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Vararg{(Pair{var""##ANON_TV#479"", var""##ANON_TV#480""} where var""##ANON_TV#479"" <: Integer) where var""##ANON_TV#480"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#479""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#480""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,false,true,false,true,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Vararg{(Pair{var""##ANON_TV#481"", var""##ANON_TV#482""} where var""##ANON_TV#481"" <: Integer) where var""##ANON_TV#482"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#481""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#482""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,false,true,false,true,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Any, Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Any, Vararg{(Pair{var""##ANON_TV#483"", var""##ANON_TV#484""} where var""##ANON_TV#483"" <: Integer) where var""##ANON_TV#484"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#483""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#484""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,false,true,false,true,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Any, Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Any, Vararg{(Pair{var""##ANON_TV#485"", var""##ANON_TV#486""} where var""##ANON_TV#485"" <: Integer) where var""##ANON_TV#486"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#485""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#486""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,false,true,false,true,../data/ta-info/all/ApproxFunBase.jl
src/AnnotatedArrays.jl,AnnotatedArray,mtsig,"Tuple{AbstractArray, Vararg{Pair{K, <:Any}}} where K","Tuple{AbstractArray, Vararg{Pair{K, var""##ANON_TV#514""} where var""##ANON_TV#514"" <: Any}} where K","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#514""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:K, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/ArrayTools.jl
src/vector_of_arrays.jl,Base.vcat,mtsig,"Tuple{Vararg{VectorOfArrays{U, N} where U}} where N","Tuple{Vararg{VectorOfArrays{U, N} where U}} where N","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:U, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,false,true,false,true,../data/ta-info/all/ArraysOfArrays.jl
src/eltypes.jl,finaljuliatype,mtsig,"Tuple{Type{Union{T, Missing}}} where T","Tuple{Type{Union{T, Missing}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,ArrowType,mtsig,"Tuple{Type{Union{Missing, T}}} where T","Tuple{Type{Union{Missing, T}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, Missing} where T","Tuple{Type{Union{Missing, T}}, Missing} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, T} where T","Tuple{Type{Union{Missing, T}}, T} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, T} where T <: NamedTuple","Tuple{Type{Union{Missing, T}}, T} where T <: NamedTuple","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :NamedTuple, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple), list(JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,false,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,fromarrow,mtsig,"Tuple{Type{Union{Missing, T}}, Any} where T","Tuple{Type{Union{Missing, T}}, Any} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes/src/ArrowTypes.jl,default,mtsig,"Tuple{Type{Union{T, Missing}}} where T","Tuple{Type{Union{T, Missing}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/Arrow.jl
src/ArrowTypes.jl,ArrowType,mtsig,"Tuple{Type{Union{Missing, T}}} where T","Tuple{Type{Union{Missing, T}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,false,true,false,true,../data/ta-info/all/ArrowTypes.jl
